"#property","latitude","longitude","name","surveyDate","manWeekdaysAverage","womanWeekdaysAverage","bicycleWeekdaysAverage","totalWeekdaysAverage","manHolidayAverage","womanHolidayAverage","bicycleHolidayAverage","totalHolidayAverage"
"1","34.346562158","134.047419908","兵庫町（西）","2021年　平均","2394","1727","2920","7041","1631","1367","2198","5196"
"2","34.346118042","134.050320203","兵庫町（東）","2021年　平均","3223","2920","3450","9593","3223","3144","2600","8967"
"3","34.346237231","134.050582181","片原町西（西）","2021年　平均","3743","5284","1780","10807","4697","7583","1220","13500"
"4","34.346053031","134.050752972","片原町西（東）","2021年　平均","2313","2131","2985","7429","2622","2717","2205","7544"
"5","34.345657486","134.053419486","片原町東（西）","2021年　平均","1340","1554","2745","5639","1277","1369","2096","4742"
"6","34.345944589","134.050515094","丸亀町（北）","2021年　平均","3719","5159","344","9222","5165","7459","260","12884"
"7","34.342480081","134.049777667","丸亀町（南）","2021年　平均","4074","5114","448","9636","6409","8622","353","15384"
"8","34.345761708","134.052026286","ライオン通（北）","2021年　平均","1229","1135","1744","4108","1432","1412","1344","4188"
"9","34.342029528","134.051314075","ライオン通（南）","2021年　平均","1118","749","1807","3674","1167","935","1477","3579"
"10","34.339558675","134.049214917","南新町（南）","2021年　平均","3583","2979","3786","10348","3749","4347","2667","10763"
"11","34.338931269","134.049295336","常磐町（西）","2021年　平均","2704","3003","2182","7889","3143","4037","1616","8796"
"12","34.338645322","134.051347103","常磐町（東）","2021年　平均","1964","2344","978","5286","2328","2959","764","6051"
"13","34.337534083","134.048860619","田町（中）","2021年　平均","1990","1744","3927","7661","1626","1499","2695","5820"
"14","34.339617244","134.050212644","菊池寛通（南）","2021年　平均","1458","1472","306","3236","946","803","227","1976"
"15","34.339905108","134.049339097","菊池寛通（北）","2021年　平均","1612","1512","1065","4189","1690","1711","772","4173"
